Location_no,Location,Municipality,Province,Region,Country
2,Aa en Hunze,Aa en Hunze,Drenthe,"",Nederland
3,Aagtdorp,Schoorl,Noord-Holland,"",Nederland
4,Aagtekerke,Aagtekerke,Zeeland,"",Nederland
5,Aalburg,Aalburg,Noord-Brabant,"",Nederland
6,Aalden,Zweeloo,Drenthe,"",Nederland
7,Aalsmeer,Aalsmeer,Noord-Holland,"",Nederland
10,Brakel,Brakel,Gelderland,"",Nederland
11,Aalst,Poederoijen,Gelderland,"",Nederland
12,Aalst,Aalst (NB),Noord-Brabant,"",Nederland
13,Aalst,Waalre,Noord-Brabant,"",Nederland
14,Aalsum,Oostdongeradeel,Friesland,"",Nederland
15,Aalten,Aalten,Gelderland,"",Nederland
17,Aardenburg,Aardenburg,Zeeland,"",Nederland
18,Aardswoud,Hoogwoud,Noord-Holland,"",Nederland
19,Aarlanderveen,Aarlanderveen,Zuid-Holland,"",Nederland
20,Aarle-Rixtel,Aarle-Rixtel,Noord-Brabant,"",Nederland
23,Aartswoud,Hoogwoud,Noord-Holland,"",Nederland
24,Abbega,Wymbritseradeel,Friesland,"",Nederland
25,Abbekerk,Abbekerk,Noord-Holland,"",Nederland
26,Abbenbroek,Abbenbroek,Zuid-Holland,"",Nederland
27,Abcoude,Abcoude,Utrecht,"",Nederland
28,Abcoude-Baambrugge,Abcoude-Baambrugge,Utrecht,"",Nederland
29,Abcoude-Proostdij,Abcoude-Proostdij,Utrecht,"",Nederland
32,Achlum,Franekeradeel,Friesland,"",Nederland
33,Achterberg,Rhenen,Utrecht,"",Nederland
34,Achterveld,Barneveld,Gelderland,"",Nederland
35,Achthoven,Linschoten,Utrecht,"",Nederland
36,Achthuizen,Ooltgensplaat,Zuid-Holland,"",Nederland
37,Achtkarspelen,Achtkarspelen,Friesland,"",Nederland
38,Achttienhoven,Achttienhoven (UT),Utrecht,"",Nederland
39,Achttienhoven,Achttienhoven (UT),Utrecht,"",Nederland
40,Achttienhoven,Achttienhoven (ZH),Zuid-Holland,"",Nederland
41,Acquoy,Beesd,Gelderland,"",Nederland
48,Adorp,Adorp,Groningen,"",Nederland
49,Aduard,Aduard,Groningen,"",Nederland
50,Unknown,Unknown,Unknown,"",Unknown
50,Aegum,Idaarderadeel,Friesland,"",Nederland
51,Aengwirden,Aengwirden,Friesland,"",Nederland
52,Aerdenhout,Bloemendaal (NH),Noord-Holland,"",Nederland
52,Unknown,Unknown,Unknown,"",Unknown
53,Afferden en Dreest,Druten,Gelderland,"",Nederland
54,Afferden,Bergen (LI),Limburg,"",Nederland
58,Akersloot,Akersloot,Noord-Holland,"",Nederland
59,Akkerwoude,Dantumadeel,Friesland,"",Nederland
60,Akkrum,Boarnsterhim,Friesland,"",Nederland
61,Akkrum,Utingeradeel,Friesland,"",Nederland
62,Akmarijp,Utingeradeel,Friesland,"",Nederland
64,Albergen,Tubbergen,Overijssel,"",Nederland
66,Alblasserdam,Alblasserdam,Zuid-Holland,"",Nederland
68,Albrandswaard,Albrandswaard,Zuid-Holland,"",Nederland
70,Alem,"Alem, Maren en Kessel",Noord-Brabant,"",Nederland
71,"Alem, Maren en Kessel","Alem, Maren en Kessel",Noord-Brabant,"",Nederland
73,Alendorp,Vleuten,Utrecht,"",Nederland
77,Alkemade,Alkemade,Zuid-Holland,"",Nederland
79,Alkmaar,Alkmaar,Noord-Holland,"",Nederland
79,Unknown,Unknown,Unknown,"",Unknown
80,Unknown,Unknown,Unknown,"",Unknown
82,Allingawier,Wonseradeel,Friesland,"",Nederland
83,Almelo,Almelo,Overijssel,"",Nederland
84,Almelo Ambt,Almelo Ambt,Overijssel,"",Nederland
85,Almelo Stad,Almelo Stad,Overijssel,"",Nederland
86,Almen,Gorssel,Gelderland,"",Nederland
87,Almenum,Barradeel,Friesland,"",Nederland
88,Almere,Almere,Flevoland,"",Nederland
89,Almere,"Zuidelijke IJsselmeerpolders, Openbaar Lichaam",Flevoland,"",Nederland
90,Almere Stad,Almere,Flevoland,"",Nederland
91,Almkerk,Almkerk,Noord-Brabant,"",Nederland
95,Alphen,Appeltern,Gelderland,"",Nederland
96,Alphen,Alphen (ZH),Zuid-Holland,"",Nederland
97,Alphen aan den Rijn,Alphen aan den Rijn,Zuid-Holland,"",Nederland
98,Alphen en Riel,Alphen en Riel,Noord-Brabant,"",Nederland
108,Alteveer,Hoogeveen,Drenthe,"",Nederland
109,Altforst,Appeltern,Gelderland,"",Nederland
112,Altweert,Weert,Limburg,"",Nederland
116,Amby,Amby,Limburg,"",Nederland
117,Ameide,Ameide,Zuid-Holland,"",Nederland
